trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.75, 'e': 0.39455371037160164}",20,16,10.09405992798849,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.75, 'e': 0.3921934758935055}",25,17,16.27467771301928,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.75, 'e': 0.38984736042289847}",20,6,14.939462198941877,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.75, 'e': 0.38751527949937026}",25,12,8.598409365238519,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.75, 'e': 0.3851971491677557}",20,9,-5.168979411632375,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.75, 'e': 0.38289288597511256}",25,0,-35.33757331972299,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
161,False,"{'a': 0.75, 'e': 0.38060240696771697}",25,0,-36.404026768754306,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
162,False,"{'a': 0.75, 'e': 0.3783256296880773}",25,0,-62.86494319779953,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
163,False,"{'a': 0.75, 'e': 0.37606247217196564}",20,6,-0.341856992533208,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.75, 'e': 0.37381285294546696}",20,0,-14.581673881741253,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
165,False,"{'a': 0.75, 'e': 0.37157669102204616}",25,0,-12.296961986772367,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
166,False,"{'a': 0.75, 'e': 0.3693539058996325}",20,0,-6.46297274153504,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
167,False,"{'a': 0.75, 'e': 0.36714441755772154}",20,0,-43.70211713002594,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
168,False,"{'a': 0.75, 'e': 0.36494814645449425}",20,0,-25.345779221233137,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
